Date,Time,Address,vbat,DielecPerm,Temp,ElecCond,temp0,temp1,temp_diff,sht31d_temp,sht31d_humid
8/22/18,14:54:02,/LOOM/Sap7/data,4.29,19.53,22.4,128,27.36,21.25,6.11,33.18,38.55
8/22/18,15:24:02,/LOOM/Sap7/data,4.29,19.56,21.8,132,27.83,21.32,6.51,32.12,39.36
8/22/18,15:54:01,/LOOM/Sap7/data,4.29,19.83,21.6,136,28.42,21.39,7.03,31.67,39.48
8/22/18,16:24:02,/LOOM/Sap7/data,4.28,20.26,21.4,140,28.89,21.34,7.55,30.68,40.35
8/22/18,16:54:02,/LOOM/Sap7/data,4.28,20.4,21.4,142,29.39,21.37,8.03,29.56,41.46
8/22/18,17:24:03,/LOOM/Sap7/data,4.28,20.4,21.4,142,29.8,21.32,8.48,28.17,44.12
8/22/18,17:54:05,/LOOM/Sap7/data,4.27,20.58,21.4,144,30.02,21.27,8.74,26.84,46.29
8/22/18,18:24:08,/LOOM/Sap7/data,4.27,20.58,21.4,143,30.19,21.21,8.98,25.07,49.88
8/22/18,18:54:12,/LOOM/Sap7/data,4.27,20.44,21.4,143,30.16,21.09,9.07,22.96,54.76
8/22/18,19:24:17,/LOOM/Sap7/data,4.26,20.41,21.5,144,30.04,20.96,9.08,21.18,59.77
8/22/18,19:54:23,/LOOM/Sap7/data,4.25,20.32,21.5,144,29.87,20.73,9.14,19.72,63.85
8/22/18,20:24:29,/LOOM/Sap7/data,4.25,20.26,21.5,143,29.66,20.51,9.15,18.77,66.97
8/22/18,20:54:36,/LOOM/Sap7/data,4.25,20.2,21.5,143,29.49,20.26,9.23,17.87,69.94
8/22/18,21:24:43,/LOOM/Sap7/data,4.25,20.17,21.5,143,29.3,20.08,9.22,17.36,71.62
8/22/18,21:54:51,/LOOM/Sap7/data,4.25,20.1,21.5,143,29.15,19.9,9.26,17.03,72.47
8/22/18,22:24:58,/LOOM/Sap7/data,4.24,20.06,21.5,143,28.96,19.67,9.29,16.75,73.55
8/22/18,22:55:06,/LOOM/Sap7/data,4.24,20.05,21.4,142,28.77,19.51,9.26,16.52,74.39
8/22/18,23:25:14,/LOOM/Sap7/data,4.24,20,21.4,141,28.7,19.36,9.35,16.42,74.47
8/22/18,23:55:21,/LOOM/Sap7/data,4.24,20.04,21.4,141,28.56,19.22,9.34,16.27,75.19
8/23/18,0:25:29,/LOOM/Sap7/data,4.23,20.03,21.3,140,28.47,19.09,9.38,16.21,75.82
8/23/18,0:55:37,/LOOM/Sap7/data,4.23,19.96,21.2,141,28.39,18.97,9.42,16.11,76.3
8/23/18,1:25:45,/LOOM/Sap7/data,4.23,19.99,21.2,142,28.32,18.86,9.46,16.06,76.45
8/23/18,1:55:53,/LOOM/Sap7/data,4.23,19.98,21.2,139,28.23,18.77,9.46,15.96,77.09
8/23/18,2:26:02,/LOOM/Sap7/data,4.23,19.96,21.1,139,28.18,18.7,9.48,15.79,76.91
8/23/18,2:56:10,/LOOM/Sap7/data,4.22,19.96,21,140,28.13,18.63,9.5,15.49,76.39
8/23/18,3:26:18,/LOOM/Sap7/data,4.23,19.9,21,140,27.97,18.54,9.43,14.86,75.78
8/23/18,3:56:27,/LOOM/Sap7/data,4.22,19.92,20.9,139,27.83,18.41,9.42,14.23,76.49
8/23/18,4:26:36,/LOOM/Sap7/data,4.22,19.88,20.9,139,27.62,18.27,9.35,13.84,77.17
8/23/18,4:56:45,/LOOM/Sap7/data,4.22,19.87,20.8,138,27.48,18.16,9.32,13.5,77.37
8/23/18,5:26:55,/LOOM/Sap7/data,4.21,19.87,20.8,138,27.29,17.98,9.31,13.17,78.13
8/23/18,5:57:05,/LOOM/Sap7/data,4.21,19.83,20.7,136,27.1,17.84,9.26,12.97,80.79
8/23/18,6:27:14,/LOOM/Sap7/data,4.21,19.81,20.6,138,26.96,17.71,9.26,13.2,81.23
8/23/18,6:57:24,/LOOM/Sap7/data,4.21,19.82,20.6,137,26.85,17.61,9.23,13.64,82.21
8/23/18,7:27:33,/LOOM/Sap7/data,4.21,19.78,20.5,137,26.85,17.52,9.32,14.12,81.07
8/23/18,7:57:42,/LOOM/Sap7/data,4.2,19.82,20.5,137,26.82,17.5,9.32,14.95,80.76
8/23/18,8:27:50,/LOOM/Sap7/data,4.21,19.81,20.4,138,26.85,17.39,9.46,15.93,79.73
8/23/18,8:57:58,/LOOM/Sap7/data,4.21,19.9,20.3,138,26.68,17.14,9.55,16.51,77.69
8/23/18,9:28:05,/LOOM/Sap7/data,4.2,20.8,20.3,149,26.43,16.86,9.56,17.06,75.39
8/23/18,9:58:13,/LOOM/Sap7/data,4.21,21.07,20.2,150,26.41,17,9.4,17.68,73.18
8/23/18,10:28:19,/LOOM/Sap7/data,4.2,21.45,20.1,151,26.87,17.71,9.17,18.22,72.18
8/23/18,10:58:26,/LOOM/Sap7/data,4.2,21.59,20,152,27.73,18.61,9.12,18.98,70.2
8/23/18,11:28:32,/LOOM/Sap7/data,4.2,21.56,20,148,28.44,19.31,9.13,19.64,67.22
8/23/18,11:58:38,/LOOM/Sap7/data,4.2,21.52,19.9,148,28.92,19.72,9.2,20.92,63
8/23/18,12:28:43,/LOOM/Sap7/data,4.2,21.51,19.9,149,29.11,19.88,9.23,21.5,60.45
8/23/18,12:58:48,/LOOM/Sap7/data,4.2,21.51,19.8,150,29.2,19.94,9.26,22.52,59.05
8/23/18,13:28:52,/LOOM/Sap7/data,4.2,21.53,19.8,151,29.25,19.94,9.31,22.32,58.86
