Date,Time,Address,vbat,DielecPerm,Temp,ElecCond,temp0,temp1,temp_diff,sht31d_temp,sht31d_humid
8/22/18,15:40:56,/LOOM/Sap3/data,4.26,12.38,25.7,110,25.78,25.94,0.16,37.99,34.22
8/22/18,16:10:56,/LOOM/Sap3/data,4.25,12.55,25.1,110,25.16,25.9,0.74,34.71,37.71
8/22/18,16:40:57,/LOOM/Sap3/data,4.26,12.64,24.7,111,25.16,25.71,0.55,32.37,40.51
8/22/18,17:10:57,/LOOM/Sap3/data,4.26,12.63,24.5,114,24.66,25.14,0.48,30.75,42.64
8/22/18,17:40:57,/LOOM/Sap3/data,4.25,12.64,24.3,114,24.45,24.84,0.39,29.3,45
8/22/18,18:10:57,/LOOM/Sap3/data,4.25,12.66,24.1,112,24.27,24.66,0.39,27.77,47.02
8/22/18,18:40:58,/LOOM/Sap3/data,4.25,12.65,23.9,109,23.95,24.29,0.34,25.85,51.02
8/22/18,19:10:58,/LOOM/Sap3/data,4.25,12.67,23.7,109,23.43,23.7,0.27,23.87,55.07
8/22/18,19:40:58,/LOOM/Sap3/data,4.24,12.66,23.3,110,22.86,23.04,0.18,21.94,59.94
8/22/18,20:10:58,/LOOM/Sap3/data,4.25,12.7,23.1,110,22.22,22.47,0.25,20.65,63.37
8/22/18,20:40:59,/LOOM/Sap3/data,4.25,12.69,22.7,110,21.61,21.84,0.23,19.72,66.18
8/22/18,21:10:59,/LOOM/Sap3/data,4.24,12.7,22.4,110,21.07,21.37,0.3,19.03,68.22
8/22/18,21:40:59,/LOOM/Sap3/data,4.24,12.74,22.1,109,20.6,20.87,0.27,18.5,69.69
8/22/18,22:10:59,/LOOM/Sap3/data,4.25,12.75,21.8,111,20.06,20.44,0.38,18.22,70.3
8/22/18,22:40:59,/LOOM/Sap3/data,4.25,12.77,21.6,110,19.63,19.97,0.34,18.02,70.82
8/22/18,23:11:00,/LOOM/Sap3/data,4.24,12.8,21.3,110,19.2,19.58,0.38,17.76,71.66
8/22/18,23:41:00,/LOOM/Sap3/data,4.25,12.8,21.1,110,18.84,19.22,0.38,17.58,72.11
8/23/18,0:11:00,/LOOM/Sap3/data,4.24,12.73,20.9,110,18.45,18.86,0.41,17.44,72.67
