Date,Time,Address,vbat,temp0,temp1,temp_diff,sht31d_temp,sht31d_humid
2018/8/6,11:50:19,/LOOM/Sap7/data,4.37,24.29,20.94,3.35,27.20,52.89
2018/8/6,12:5:17,/LOOM/Sap7/data,3.92,31.85,20.98,10.87,27.68,50.54
2018/8/6,12:20:17,/LOOM/Sap7/data,3.89,31.90,21.00,10.89,27.69,53.37
2018/8/6,12:35:17,/LOOM/Sap7/data,3.88,31.95,21.07,10.88,28.02,52.74
2018/8/6,12:50:16,/LOOM/Sap7/data,3.89,31.95,21.12,10.83,28.40,51.28
2018/8/6,13:5:16,/LOOM/Sap7/data,3.89,32.02,21.16,10.86,28.74,51.22
2018/8/6,13:20:15,/LOOM/Sap7/data,3.88,32.07,21.23,10.84,29.01,50.95
2018/8/6,13:35:15,/LOOM/Sap7/data,3.88,32.12,21.32,10.80,29.49,49.24
2018/8/6,13:50:14,/LOOM/Sap7/data,3.88,32.22,21.37,10.86,29.61,50.41
2018/8/6,14:5:13,/LOOM/Sap7/data,3.88,32.35,21.46,10.89,30.11,48.77
2018/8/6,14:20:12,/LOOM/Sap7/data,3.88,32.37,21.57,10.80,30.72,47.96
2018/8/6,14:35:11,/LOOM/Sap7/data,3.88,32.55,21.66,10.89,31.16,47.11
2018/8/6,14:50:10,/LOOM/Sap7/data,3.88,32.65,21.79,10.85,31.67,45.44
2018/8/6,15:5:9,/LOOM/Sap7/data,3.88,32.70,21.91,10.79,31.94,46.15
2018/8/6,15:20:7,/LOOM/Sap7/data,3.87,32.87,22.04,10.83,32.32,44.28
2018/8/6,15:35:6,/LOOM/Sap7/data,3.87,32.97,22.18,10.79,32.69,44.52
2018/8/6,15:50:4,/LOOM/Sap7/data,3.87,33.12,22.29,10.83,32.96,43.44
2018/8/6,16:5:3,/LOOM/Sap7/data,3.87,33.22,22.38,10.84,33.28,41.36
2018/8/6,16:20:1,/LOOM/Sap7/data,3.87,33.30,22.47,10.83,33.36,41.95
2018/8/6,16:35:0,/LOOM/Sap7/data,3.87,33.38,22.52,10.86,33.23,42.53
2018/8/6,16:49:58,/LOOM/Sap7/data,3.87,33.48,22.63,10.85,33.54,41.99
2018/8/6,17:4:57,/LOOM/Sap7/data,3.87,33.53,22.70,10.83,33.37,42.80
2018/8/6,17:19:55,/LOOM/Sap7/data,3.86,33.61,22.74,10.86,33.37,42.02
2018/8/6,17:34:53,/LOOM/Sap7/data,3.86,33.61,22.79,10.82,33.36,42.17
2018/8/6,17:49:52,/LOOM/Sap7/data,3.86,33.63,22.77,10.86,32.85,42.78
